"ID","between_subject_condition","mid_logical","mid_type1","mid_type2","mid_type3","edge_logical","edge_type1","edge_type2","edge_type3"
3061,"ties_allowed",1,2,3,0,2,0,4,0
3063,"ties_allowed",5,1,0,0,6,0,0,0
3064,"ties_allowed",2,1,2,1,6,0,0,0
3066,"ties_allowed",1,2,3,0,6,0,0,0
3067,"ties_allowed",2,4,0,0,5,0,1,0
3068,"ties_allowed",1,2,3,0,6,0,0,0
3073,"ties_allowed",3,1,2,0,4,0,2,0
3077,"ties_allowed",5,0,1,0,5,0,1,0
3079,"ties_allowed",3,0,3,0,4,0,2,0
3080,"ties_allowed",3,0,3,0,3,0,3,0
3081,"ties_allowed",2,3,1,0,4,0,2,0
3082,"ties_allowed",1,1,2,2,4,0,2,0
3083,"ties_allowed",1,1,4,0,5,0,1,0
3084,"ties_allowed",5,1,0,0,4,0,2,0
3085,"ties_allowed",1,3,1,1,2,0,4,0
3086,"ties_allowed",4,0,2,0,4,0,2,0
3087,"ties_allowed",2,2,2,0,4,0,2,0
3090,"ties_allowed",6,0,0,0,6,0,0,0
3091,"ties_allowed",3,1,2,0,3,0,3,0
3092,"ties_allowed",2,2,2,0,6,0,0,0
3093,"ties_allowed",2,0,3,1,4,0,2,0
3096,"ties_allowed",1,1,4,0,6,0,0,0
3097,"ties_allowed",3,0,3,0,6,0,0,0
3100,"ties_allowed",4,2,0,0,3,1,2,0
3104,"ties_allowed",1,2,2,1,3,0,3,0
3107,"ties_allowed",1,4,1,0,4,0,2,0
3110,"ties_allowed",1,4,1,0,5,0,1,0
3114,"ties_allowed",1,1,3,1,5,0,1,0
3115,"ties_allowed",4,0,2,0,3,0,3,0
3118,"ties_allowed",1,0,3,2,3,0,3,0
3119,"ties_allowed",5,1,0,0,3,0,3,0
3120,"ties_allowed",5,1,0,0,5,0,1,0
3121,"ties_allowed",1,1,4,0,4,0,2,0
3122,"ties_allowed",5,1,0,0,6,0,0,0
3123,"ties_allowed",4,0,2,0,4,0,2,0
3126,"ties_allowed",1,3,1,1,3,0,2,1
3129,"ties_allowed",4,2,0,0,3,0,3,0
3131,"ties_allowed",2,3,1,0,4,0,2,0
3133,"ties_allowed",1,2,2,1,2,0,4,0
3135,"ties_allowed",1,2,3,0,3,0,3,0
2919,"ties_not_allowed",1,1,4,0,2,0,4,0
2921,"ties_not_allowed",2,1,3,0,6,0,0,0
2922,"ties_not_allowed",1,5,0,0,4,0,2,0
2924,"ties_not_allowed",6,0,0,0,4,0,2,0
2926,"ties_not_allowed",3,1,2,0,5,0,1,0
2927,"ties_not_allowed",4,0,2,0,5,0,1,0
2932,"ties_not_allowed",3,2,1,0,4,0,2,0
2935,"ties_not_allowed",5,1,0,0,4,0,2,0
2936,"ties_not_allowed",3,2,1,0,3,1,2,0
2940,"ties_not_allowed",2,3,1,0,6,0,0,0
2942,"ties_not_allowed",5,0,1,0,6,0,0,0
2947,"ties_not_allowed",3,2,1,0,5,0,1,0
2948,"ties_not_allowed",5,0,1,0,6,0,0,0
2950,"ties_not_allowed",4,2,0,0,4,1,1,0
2951,"ties_not_allowed",4,1,1,0,6,0,0,0
2954,"ties_not_allowed",0,2,4,0,3,1,2,0
2960,"ties_not_allowed",2,3,1,0,4,0,2,0
2961,"ties_not_allowed",4,0,2,0,4,0,2,0
2962,"ties_not_allowed",5,1,0,0,4,0,2,0
2966,"ties_not_allowed",4,1,1,0,6,0,0,0
2970,"ties_not_allowed",4,2,0,0,2,1,3,0
2971,"ties_not_allowed",2,3,1,0,4,0,2,0
2972,"ties_not_allowed",3,0,3,0,5,0,1,0
2973,"ties_not_allowed",3,2,1,0,4,0,2,0
2975,"ties_not_allowed",6,0,0,0,6,0,0,0
2977,"ties_not_allowed",2,0,4,0,4,0,2,0
2978,"ties_not_allowed",1,0,5,0,4,0,2,0
2979,"ties_not_allowed",4,1,1,0,5,0,1,0
2983,"ties_not_allowed",1,5,0,0,4,0,2,0
2985,"ties_not_allowed",5,0,1,0,5,0,1,0
2987,"ties_not_allowed",5,0,1,0,6,0,0,0
2991,"ties_not_allowed",0,5,1,0,5,0,1,0
2993,"ties_not_allowed",3,0,3,0,4,0,2,0
3000,"ties_not_allowed",3,1,2,0,5,0,1,0
3002,"ties_not_allowed",1,2,3,0,6,0,0,0
3003,"ties_not_allowed",6,0,0,0,6,0,0,0
3004,"ties_not_allowed",0,1,5,0,6,0,0,0
3006,"ties_not_allowed",0,1,5,0,4,0,2,0
3007,"ties_not_allowed",1,1,4,0,3,0,3,0
3008,"ties_not_allowed",4,0,2,0,3,0,3,0
3013,"ties_not_allowed",3,1,2,0,6,0,0,0
3014,"ties_not_allowed",3,0,3,0,3,0,3,0
3017,"ties_not_allowed",1,1,4,0,5,0,1,0
3018,"ties_not_allowed",3,1,2,0,5,0,1,0
3025,"ties_not_allowed",4,0,2,0,6,0,0,0
3027,"ties_not_allowed",4,1,1,0,3,0,3,0
3029,"ties_not_allowed",4,1,1,0,4,0,2,0
3031,"ties_not_allowed",4,0,2,0,5,0,1,0
3032,"ties_not_allowed",2,0,4,0,4,1,1,0
3035,"ties_not_allowed",2,1,3,0,3,0,3,0
3036,"ties_not_allowed",2,0,4,0,4,0,2,0
3037,"ties_not_allowed",6,0,0,0,6,0,0,0
3040,"ties_not_allowed",3,1,2,0,1,1,4,0
3042,"ties_not_allowed",6,0,0,0,5,0,1,0
3043,"ties_not_allowed",2,2,2,0,6,0,0,0
3045,"ties_not_allowed",3,0,3,0,5,0,1,0
3047,"ties_not_allowed",4,0,2,0,5,0,1,0
3048,"ties_not_allowed",3,1,2,0,5,0,1,0
3049,"ties_not_allowed",5,0,1,0,5,0,1,0
3051,"ties_not_allowed",4,1,1,0,3,0,3,0
3053,"ties_not_allowed",3,1,2,0,3,0,3,0
3054,"ties_not_allowed",2,1,3,0,3,0,3,0
3055,"ties_not_allowed",3,0,3,0,5,0,1,0
3057,"ties_not_allowed",1,4,1,0,4,2,0,0
3062,"ties_not_allowed",2,2,2,0,6,0,0,0
3065,"ties_not_allowed",1,0,5,0,3,0,3,0
3069,"ties_not_allowed",4,0,2,0,6,0,0,0
3071,"ties_not_allowed",4,0,2,0,6,0,0,0
3072,"ties_not_allowed",3,2,1,0,6,0,0,0
3075,"ties_not_allowed",3,0,3,0,6,0,0,0
3076,"ties_not_allowed",2,2,2,0,6,0,0,0
3078,"ties_not_allowed",1,3,2,0,5,0,1,0
3089,"ties_not_allowed",4,1,1,0,4,0,2,0
3094,"ties_not_allowed",6,0,0,0,6,0,0,0
3099,"ties_not_allowed",5,1,0,0,4,0,2,0
3105,"ties_not_allowed",3,0,3,0,6,0,0,0
3106,"ties_not_allowed",4,2,0,0,6,0,0,0
3108,"ties_not_allowed",2,1,3,0,4,0,2,0
3116,"ties_not_allowed",3,1,2,0,4,0,2,0
3117,"ties_not_allowed",3,2,1,0,5,0,1,0
3127,"ties_not_allowed",1,2,3,0,4,1,1,0
3128,"ties_not_allowed",3,0,3,0,6,0,0,0
3130,"ties_not_allowed",2,4,0,0,5,0,1,0
3132,"ties_not_allowed",6,0,0,0,6,0,0,0
3134,"ties_not_allowed",6,0,0,0,6,0,0,0
3136,"ties_not_allowed",2,3,1,0,4,0,2,0
