"ID","condition","consent","labelling","event_item","answer","age","gender","language","profession","subject","level_education","quality","event_comp","set"
"2461","G","yes","D_17","In einem zufällig ausgewählten deutschen Haushalt gibt es einen Trockner.",60,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","A_36","Eine zufällig ausgewählte Person in Deutschland liest NICHT täglich die Zeitung.",55,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_48","In einem zufällig ausgewählten Stadtteil in Deutschland gibt es mindestens eine Bäckerei.",100,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_21","Eine zufällig ausgewählte Person in Deutschland hat NICHT mehr als zwei Geschwister.",45,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_24","Ein zufällig ausgewähltes Haus in Deutschland hat mehr als 2 Stockwerke.",65,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_43","Ein zufällig ausgewähltes 12-jähriges deutsches Kind weiß NICHT, wie man ein Smartphone bedient.",90,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_42","Eine zufällig ausgewählte Person in Deutschland besitzt mindestens ein Gerät, das sich mit dem Internet verbinden kann.",100,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_22","Eine zufällig ausgewählte Person in Deutschland trainiert täglich.",55,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_10","Ein(e) zufällig ausgewählte(r) Student(in) in Deutschland hat KEINE Erfahrung mit dem Programmieren am Computer.",55,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_9","Eine zufällig ausgewählte Person in Deutschland nutzt Facebook NICHT wöchentlich.",45,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_6","Eine zufällig ausgewählte Person in Deutschland hat innerhalb der letzten Woche KEIN Buch zu Ende gelesen.",55,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_3","An einem zufällig ausgewählten Tag im Jahr wird die Sonnenscheindauer für ganz Deutschland NICHT über 4 Stunden liegen.",70,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_25","Eine zufällig ausgewählte deutsche Person besucht an Weihnachten NICHT die Kirche.",80,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_19","Eine zufällig ausgewählte Person in Deutschland wohnt in Süddeutschland.",33,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","B_37","In einem zufällig ausgewählten Jahr wird es Erdbeben in Deutschland geben.",12,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_41","In einem zufällig ausgewählten Jahr wird die Höchsttemperatur in Deutschland NICHT 32°C oder mehr erreichen.",68,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_35","Eine zufällig ausgewählte Person in Deutschland isst täglich NICHT mehr als acht Gemüsesorten.",30,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_4","An einem zufällig ausgewählten Tag im Jahr wird die Temperatur in Deutschland über 15 °C liegen.",50,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_15","Eine zufällig ausgewählte Person in Deutschland ist Fan eines Fußballvereins.",60,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_32","Eine zufällig ausgewählte Person in Deutschland spielt Banjo.",25,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_28","Eine zufällig ausgewählte Person in Deutschland spielt professionell Schach.",15,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_26","In einem zufällig ausgewählten Jahr wird es in Deutschland Tornados geben.",8,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_18","Eine zufällig ausgewählte Person in Deutschland ist noch NIE im Mittelmeer geschwommen.",85,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_20","Ein zufällig ausgewähltes deutsches Schulkind lernt NICHT in der Schule ein Instrument zu spielen.",100,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_11","Eine zufällig ausgewählte Person in Deutschland wird irgendwann an Krebs sterben.",35,"20","female","german","student","other","higher","serious","pos","D"
"2461","G","yes","D_16","Ein zufällig ausgewähltes Auto auf der Straße in Deutschland wurde NICHT in Deutschland hergestellt.",50,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_23","In einem zufällig ausgewählten Jahr werden in Deutschland im April NICHT mehr Blumen blühen als im März.",70,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_47","Ein zufällig ausgewähltes deutsches Geschäft existiert NICHT seit mehr als 5 Jahren.",40,"20","female","german","student","other","higher","serious","neg","D"
"2461","G","yes","D_29","Ein zufällig ausgewähltes deutsches 12-jähriges Kind lernt in der Schule KEIN Programmieren von Computern.",35,"20","female","german","student","other","higher","serious","neg","D"
